Entry	Gene Names	Protein names	Subcellular location [CC]
O15399	GRIN2D GluN2D NMDAR2D	Glutamate receptor ionotropic, NMDA 2D (GluN2D) (EB11) (Glutamate [NMDA] receptor subunit epsilon-4) (N-methyl D-aspartate receptor subtype 2D) (NMDAR2D) (NR2D)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26875626, ECO:0000269|PubMed:28126851, ECO:0000269|PubMed:9489750}; Multi-pass membrane protein. Postsynaptic cell membrane; Multi-pass membrane protein.
O15551	CLDN3 C7orf1 CPETR2	Claudin-3 (Clostridium perfringens enterotoxin receptor 2) (CPE-R 2) (CPE-receptor 2) (Rat ventral prostate.1 protein homolog) (hRVP1)	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:28028216}. Cell membrane {ECO:0000269|PubMed:28028216}; Multi-pass membrane protein {ECO:0000255}.
O15554	KCNN4 IK1 IKCA1 KCA4 SK4	Intermediate conductance calcium-activated potassium channel protein 4 (SKCa 4) (SKCa4) (hSK4) (Gardos channel) (IKCa1) (hIK1) (KCa3.1) (Putative Gardos channel) (hKCa4)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15831468, ECO:0000269|PubMed:24591580, ECO:0000269|PubMed:26148990}; Multi-pass membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000269|PubMed:24591580}. Note=Targeted to membrane ruffles after EGF stimulation. {ECO:0000269|PubMed:24591580}.
O43525	KCNQ3	Potassium voltage-gated channel subfamily KQT member 3 (KQT-like 3) (Potassium channel subunit alpha KvLQT3) (Voltage-gated potassium channel subunit Kv7.3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10788442}; Multi-pass membrane protein {ECO:0000255}.
O43526	KCNQ2	Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10788442, ECO:0000269|PubMed:9836639}; Multi-pass membrane protein {ECO:0000255}.
O43603	GALR2 GALNR2	Galanin receptor type 2 (GAL2-R) (GALR-2)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
O43868	SLC28A2 CNT2	Sodium/nucleoside cotransporter 2 (Concentrative nucleoside transporter 2) (CNT 2) (hCNT2) (Na(+)/nucleoside cotransporter 2) (Sodium-coupled nucleoside transporter 2) (Sodium/purine nucleoside co-transporter) (SPNT) (Solute carrier family 28 member 2)	SUBCELLULAR LOCATION: Membrane {ECO:0000305|PubMed:9435697}; Multi-pass membrane protein {ECO:0000255}. Apicolateral cell membrane {ECO:0000269|PubMed:35307651}; Multi-pass membrane protein {ECO:0000255}. Note=Localized to the apicolateral membranes of Sertoli cells and vascular endothelial cells in testis. {ECO:0000269|PubMed:35307651}.
O43914	TYROBP DAP12 KARAP	TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12) (Killer-activating receptor-associated protein) (KAR-associated protein)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9655483}; Single-pass type I membrane protein {ECO:0000255}.
O60235	TMPRSS11D HAT	Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain]	SUBCELLULAR LOCATION: Cell membrane; Single-pass type II membrane protein. Note=Activated by cleavage and secreted.; SUBCELLULAR LOCATION: [Transmembrane protease serine 11D catalytic chain]: Secreted. Note=Activated by cleavage and secreted.
O60469	DSCAM	Cell adhesion molecule DSCAM (CHD2) (Down syndrome cell adhesion molecule)	SUBCELLULAR LOCATION: [Isoform Short]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform Long]: Cell membrane {ECO:0000250|UniProtKB:Q9ERC8}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9ERC8}. Cell projection, axon {ECO:0000250|UniProtKB:Q9ERC8}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q9ERC8}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q9ERC8}. Synapse {ECO:0000250|UniProtKB:F1NY98}. Note=Localized in the soma, cell membrane, axon and growth cone of dissociated commissural axons. {ECO:0000250|UniProtKB:Q9ERC8}.
O60741	HCN1 BCNG1	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 (Brain cyclic nucleotide-gated channel 1) (BCNG-1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15351778, ECO:0000269|PubMed:28086084, ECO:0000269|PubMed:30351409}; Multi-pass membrane protein {ECO:0000269|PubMed:28086084, ECO:0000269|PubMed:31787376}.
O60939	SCN2B UNQ326/PRO386	Sodium channel regulatory subunit beta-2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:35277491}; Single-pass type I membrane protein {ECO:0000269|PubMed:36823201}. Cell projection, axon {ECO:0000250|UniProtKB:P54900}. Note=Clusters at the axon initial segment and node of Ranvier, the specialized neuronal subcellular domains involved in action potentials generation and propagation. {ECO:0000250|UniProtKB:P54900}.
O75022	LILRB3 ILT5 LIR3	Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.
O75077	ADAM23 MDC3	Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform Gamma]: Secreted.
O75309	CDH16 UNQ695/PRO1340	Cadherin-16 (Kidney-specific cadherin) (Ksp-cadherin)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
O75365	PTP4A3 PRL3	Protein tyrosine phosphatase type IVA 3 (EC 3.1.3.48) (PRL-R) (Protein-tyrosine phosphatase 4a3) (Protein-tyrosine phosphatase of regenerating liver 3) (PRL-3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12782572}. Early endosome {ECO:0000269|PubMed:12782572}.
O75762	TRPA1 ANKTM1	Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20547126, ECO:0000269|PubMed:21873995, ECO:0000269|PubMed:25389312, ECO:0000269|PubMed:25855297}; Multi-pass membrane protein {ECO:0000269|PubMed:31866091}.
O75882	ATRN KIAA0548 MGCA	Attractin (DPPT-L) (Mahogany homolog)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:7539799}; Single-pass type I membrane protein {ECO:0000269|PubMed:7539799}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:7539799, ECO:0000269|PubMed:9736737}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:7539799}.
O95047	OR2A4 OR2A10	Olfactory receptor 2A4 (Olfactory receptor 2A10) (Olfactory receptor OR6-37)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
O95274	LYPD3 C4.4A UNQ491/PRO1007	Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4)	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor.
O95342	ABCB11 BSEP	Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:15791618, ECO:0000269|PubMed:22262466}; Multi-pass membrane protein {ECO:0000255}. Recycling endosome membrane {ECO:0000250|UniProtKB:O70127}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O70127}. Endosome {ECO:0000250|UniProtKB:O70127}. Cell membrane {ECO:0000269|PubMed:20010382, ECO:0000269|PubMed:22262466, ECO:0000269|PubMed:29507376, ECO:0000269|PubMed:30431138}; Multi-pass membrane protein {ECO:0000255}. Note=Internalized at the canalicular membrane through interaction with the adapter protein complex 2 (AP-2) (PubMed:22262466). At steady state, localizes in the canalicular membrane but is also present in recycling endosomes. ABCB11 constantly and rapidly exchanges between the two sites through tubulo-vesicles carriers that move along microtubules. Microtubule-dependent trafficking of ABCB11 is enhanced by taurocholate and cAMP and regulated by STK11 through a PKA-mediated pathway. Trafficking of newly synthesized ABCB11 through endosomal compartment to the bile canalicular membrane is accelerated by cAMP but not by taurocholate (By similarity). Cell membrane expression is up-regulated by short- and medium-chain fatty acids (PubMed:20398791). {ECO:0000250|UniProtKB:O70127, ECO:0000269|PubMed:20398791, ECO:0000269|PubMed:22262466}.
O95497	VNN1	Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:11491533}; Lipid-anchor, GPI-anchor {ECO:0000305}.
O95622	ADCY5	Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5) (AC5)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:15385642, ECO:0000305|PubMed:26206488}; Multi-pass membrane protein. Cell projection, cilium {ECO:0000250|UniProtKB:P84309}.
O95886	DLGAP3 DAP3	Disks large-associated protein 3 (DAP-3) (PSD-95/SAP90-binding protein 3) (SAP90/PSD-95-associated protein 3) (SAPAP3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Postsynaptic density {ECO:0000250}. Synapse {ECO:0000250}. Note=Postsynaptic density of neuronal cells. {ECO:0000250}.
O95944	NCR2 LY95	Natural cytotoxicity triggering receptor 2 (Lymphocyte antigen 95 homolog) (NK cell-activating receptor) (Natural killer cell p44-related protein) (NK-p44) (NKp44) (CD antigen CD336)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
O95977	S1PR4 EDG6	Sphingosine 1-phosphate receptor 4 (S1P receptor 4) (S1P4) (Endothelial differentiation G-protein coupled receptor 6) (Sphingosine 1-phosphate receptor Edg-6) (S1P receptor Edg-6)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P01597	IGKV1-39	Immunoglobulin kappa variable 1-39 (Ig kappa chain V-I region DEE) (Ig kappa chain V-I region Hau) (Ig kappa chain V-I region Mev) (Ig kappa chain V-I region OU) (Ig kappa chain V-I region Walker)	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P01615	IGKV2D-28	Immunoglobulin kappa variable 2D-28 (Ig kappa chain V-II region FR) (Ig kappa chain V-II region GM607) (Ig kappa chain V-II region MIL) (Ig kappa chain V-II region TEW)	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P01732	CD8A MAL	T-cell surface glycoprotein CD8 alpha chain (T-lymphocyte differentiation antigen T8/Leu-2) (CD antigen CD8a)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:1460019, ECO:0000269|PubMed:17341584, ECO:0000269|PubMed:17678538}; Single-pass type I membrane protein. Note=CD8A localizes to lipid rafts only when associated with its partner CD8B. {ECO:0000269|PubMed:17341584}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:7923932}.
P01764	IGHV3-23	Immunoglobulin heavy variable 3-23 (Ig heavy chain V-III region LAY) (Ig heavy chain V-III region POM) (Ig heavy chain V-III region TEI) (Ig heavy chain V-III region TIL) (Ig heavy chain V-III region TUR) (Ig heavy chain V-III region VH26) (Ig heavy chain V-III region WAS) (Ig heavy chain V-III region ZAP)	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P01877	IGHA2	Immunoglobulin heavy constant alpha 2 (Ig alpha-2 chain C region) (Ig alpha-2 chain C region BUT) (Ig alpha-2 chain C region LAN)	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}; Single-pass type I membrane protein {ECO:0000255}.
P02748	C9	Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:22832194, ECO:0000269|PubMed:26841934, ECO:0000269|PubMed:8603752, ECO:0000269|PubMed:9212048, ECO:0000269|PubMed:9634479}. Target cell membrane {ECO:0000269|PubMed:26841934, ECO:0000269|PubMed:30111885, ECO:0000269|PubMed:9212048}; Multi-pass membrane protein {ECO:0000269|PubMed:26841934}. Note=Secreted as soluble monomer. Oligomerizes at target membranes, forming a pre-pore. A conformation change then leads to the formation of a 100 Angstrom diameter pore. {ECO:0000269|PubMed:26841934, ECO:0000269|PubMed:30111885, ECO:0000269|PubMed:4055801, ECO:0000269|PubMed:9634479}.
P02786	TFRC	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17081065}; Single-pass type II membrane protein {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.; SUBCELLULAR LOCATION: [Transferrin receptor protein 1, serum form]: Secreted {ECO:0000269|PubMed:17081065}.
P04201	MAS1 MAS	Proto-oncogene Mas	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16611642}; Multi-pass membrane protein {ECO:0000269|PubMed:16611642}.
P05106	ITGB3 GP3A	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20020534, ECO:0000269|PubMed:20702409, ECO:0000269|PubMed:9195946}; Single-pass type I membrane protein {ECO:0000269|PubMed:20020534, ECO:0000269|PubMed:20702409, ECO:0000269|PubMed:9195946}. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:20702409}. Cell junction, focal adhesion {ECO:0000269|PubMed:20702409, ECO:0000269|PubMed:35687021}. Postsynaptic cell membrane {ECO:0000250|UniProtKB:O54890}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:O54890}. Synapse {ECO:0000250|UniProtKB:O54890}.
P06028	GYPB GPB	Glycophorin-B (PAS-3) (SS-active sialoglycoprotein) (Sialoglycoprotein delta) (CD antigen CD235b)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.
P06126	CD1A	T-cell surface glycoprotein CD1a (T-cell surface antigen T6/Leu-6) (hTa1 thymocyte antigen) (CD antigen CD1a)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11231314, ECO:0000269|PubMed:11600221, ECO:0000269|PubMed:18178838}; Single-pass type I membrane protein {ECO:0000255}. Membrane raft {ECO:0000269|PubMed:18178838}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:11231314}; Single-pass type I membrane protein {ECO:0000255}. Note=Subject to intracellular trafficking between the cell membrane and endosomes (PubMed:11231314). Localizes to cell surface lipid rafts (PubMed:18178838). {ECO:0000269|PubMed:11231314, ECO:0000269|PubMed:18178838}.
P06734	FCER2 CD23A CLEC4J FCE2 IGEBF	Low affinity immunoglobulin epsilon Fc receptor (BLAST-2) (C-type lectin domain family 4 member J) (Fc-epsilon-RII) (Immunoglobulin E-binding factor) (Lymphocyte IgE receptor) (CD antigen CD23) [Cleaved into: Low affinity immunoglobulin epsilon Fc receptor membrane-bound form; Low affinity immunoglobulin epsilon Fc receptor soluble form]	SUBCELLULAR LOCATION: Cell membrane; Single-pass type II membrane protein. Cell membrane; Lipid-anchor. Secreted {ECO:0000269|PubMed:37453717}. Note=Also exists as a soluble excreted form, sCD23.
P06756	ITGAV MSK8 VNRA VTNR	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881}.
P07510	CHRNG ACHRG	Acetylcholine receptor subunit gamma	SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P08172	CHRM2	Muscarinic acetylcholine receptor M2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22278061, ECO:0000269|PubMed:24256733, ECO:0000269|PubMed:3443095}; Multi-pass membrane protein {ECO:0000269|PubMed:22278061, ECO:0000269|PubMed:24256733}. Postsynaptic cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Phosphorylation in response to agonist binding promotes receptor internalization. {ECO:0000250|UniProtKB:P06199}.
P08637	FCGR3A CD16A FCG3 FCGR3 IGFR3	Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (CD16-II) (CD16a antigen) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcRIII) (FcRIIIa) (FcgammaRIIIA) (FcR-10) (IgG Fc receptor III-2) (CD antigen CD16a)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1825220, ECO:0000269|PubMed:23006327, ECO:0000269|PubMed:24337742, ECO:0000269|PubMed:2532305, ECO:0000269|PubMed:28652325, ECO:0000269|PubMed:29967280}; Single-pass type I membrane protein {ECO:0000255}. Secreted {ECO:0000269|PubMed:25816339, ECO:0000269|PubMed:29967280}. Note=Also exists as a soluble receptor. {ECO:0000269|PubMed:25816339, ECO:0000269|PubMed:29967280}.
P08648	ITGA5 FNRA	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17158881}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881}.
